t,theta1,theta2,omega1,omega2,tau1,tau2,alpha1_pred,alpha2_pred
0.0,0.1,0.05,0.0,0.0,1.0,0.0,-7.770196914672852,18.501262664794922
0.002,0.09996891921234131,0.05007400505065918,-0.015540393829345703,0.03700252532958984,1.0,0.0,-7.759158134460449,18.474021911621094
0.004,0.09990680179214478,0.05022190618896485,-0.0310587100982666,0.07395056915283203,1.0,0.0,-7.748208045959473,18.446828842163086
0.006,0.09981369153976441,0.050443594642639165,-0.04655512619018554,0.11084422683715821,1.0,0.0,-7.737351894378662,18.41970443725586
0.008,0.09968963187980652,0.050738961914062505,-0.062029829978942866,0.14768363571166992,1.0,0.0,-7.7265825271606445,18.39263916015625
0.01,0.09953466588974,0.05110789974212647,-0.07748299503326415,0.18446891403198243,1.0,0.0,-7.715895652770996,18.3655948638916
0.012,0.09934883631706239,0.051550299949646,-0.09291478633880615,0.22120010375976562,1.0,0.0,-7.705292701721191,18.338621139526367
0.014,0.09913218557357789,0.05206605464172364,-0.10832537174224853,0.25787734603881834,1.0,0.0,-7.694778919219971,18.31171417236328
0.016,0.09888475571441652,0.05265505619049073,-0.12371492958068847,0.29450077438354494,1.0,0.0,-7.684350490570068,18.284835815429688
0.018000000000000002,0.09860658845329286,0.053317197082519543,-0.1390836305618286,0.33107044601440433,1.0,0.0,-7.674007415771484,18.25801658630371
0.02,0.09829772516250611,0.05405237004089357,-0.15443164539337156,0.36758647918701176,1.0,0.0,-7.663727283477783,18.2312068939209
0.022,0.09795820696258545,0.05486046782684328,-0.16975909996032712,0.4040488929748536,1.0,0.0,-7.653529167175293,18.204463958740234
0.024,0.09758807464599609,0.05574138346862795,-0.1850661582946777,0.44045782089233404,1.0,0.0,-7.643390655517578,18.17770767211914
0.026000000000000002,0.09718736876678466,0.05669500994110109,-0.20035293960571288,0.47681323623657235,1.0,0.0,-7.633331775665283,18.151010513305664
0.028,0.09675612956047057,0.05772124045562746,-0.21561960315704345,0.5131152572631836,1.0,0.0,-7.623328685760498,18.124298095703125
0.03,0.09629439703941343,0.05881996816253664,-0.23086626052856446,0.5493638534545899,1.0,0.0,-7.613373756408691,18.097579956054688
0.032,0.09580221102333067,0.059991086189270036,-0.24609300804138184,0.5855590133666994,1.0,0.0,-7.603474140167236,18.07086753845215
0.034,0.09527961111068724,0.061234487686157246,-0.2612999563217163,0.6217007484436037,1.0,0.0,-7.593615531921387,18.044111251831055
0.036000000000000004,0.09472663673591612,0.06255006562805178,-0.2764871873855591,0.6577889709472657,1.0,0.0,-7.583787441253662,18.017343521118164
0.038,0.09414332721138,0.06393771294403078,-0.2916547622680664,0.6938236579895021,1.0,0.0,-7.573987007141113,17.990535736083984
0.04,0.0935297217388153,0.06539732240295412,-0.30680273628234866,0.7298047294616701,1.0,0.0,-7.564201354980469,17.963642120361328
0.042,0.09288585946083068,0.0669287864303589,-0.32193113899230963,0.7657320137023927,1.0,0.0,-7.554432392120361,17.936691284179688
0.044,0.09221177945327758,0.0685319972229004,-0.33704000377655036,0.8016053962707521,1.0,0.0,-7.544663906097412,17.909645080566406
0.046,0.09150752079010009,0.07020684659576418,-0.35212933158874515,0.837424686431885,1.0,0.0,-7.534877777099609,17.882476806640625
0.048,0.0907731226158142,0.07195322587585451,-0.36719908714294436,0.8731896400451662,1.0,0.0,-7.525073051452637,17.855205535888672
0.05,0.09000862414932251,0.07377102597808839,-0.38224923324584964,0.9089000511169435,1.0,0.0,-7.515232086181641,17.8277645111084
0.052000000000000005,0.08921406475448608,0.07566013713836671,-0.3972796974182129,0.9445555801391603,1.0,0.0,-7.505349159240723,17.800172805786133
0.054,0.08838948396301269,0.07762044898986817,-0.41229039573669435,0.9801559257507325,1.0,0.0,-7.4954071044921875,17.77239418029785
0.056,0.08753492154312133,0.07965185041809082,-0.4272812099456787,1.0157007141113281,1.0,0.0,-7.485387802124023,17.74439239501953
0.058,0.08665041757202148,0.08175422941589355,-0.44225198554992673,1.0511894989013673,1.0,0.0,-7.475285530090332,17.71617317199707
0.06,0.08573601245880126,0.08392747310638428,-0.4572025566101074,1.0866218452453613,1.0,0.0,-7.465086460113525,17.687698364257812
0.062,0.0847917469997406,0.08617146759033203,-0.4721327295303344,1.1219972419738768,1.0,0.0,-7.454756259918213,17.658912658691406
0.064,0.08381766251564025,0.08848609772491456,-0.4870422420501708,1.1573150672912598,1.0,0.0,-7.444299221038818,17.62983512878418
0.066,0.08281380083465575,0.09087124720001222,-0.5019308404922485,1.192574737548828,1.0,0.0,-7.433690071105957,17.60041046142578
0.068,0.08178020439338683,0.09332679831695558,-0.5167982206344603,1.2277755584716796,1.0,0.0,-7.4229044914245605,17.57061767578125
0.07,0.08071691633415222,0.09585263190460205,-0.5316440296173095,1.2629167938232422,1.0,0.0,-7.411930084228516,17.540422439575195
0.07200000000000001,0.07962398055458068,0.09844862718200684,-0.5464678897857665,1.2979976387023926,1.0,0.0,-7.4007487297058105,17.509790420532227
0.074,0.07850144178009033,0.10111466162109375,-0.5612693872451782,1.333017219543457,1.0,0.0,-7.389336585998535,17.47870635986328
0.076,0.07734934565925598,0.10385061088562011,-0.5760480604171753,1.3679746322631836,1.0,0.0,-7.377671718597412,17.447092056274414
0.078,0.07616773885154725,0.10665634851837158,-0.5908034038543701,1.4028688163757324,1.0,0.0,-7.365725517272949,17.414955139160156
0.08,0.07495666914176942,0.10953174597167968,-0.605534854888916,1.4376987266540526,1.0,0.0,-7.353487968444824,17.38222885131836
0.082,0.07371618548011781,0.11247667234039306,-0.6202418308258056,1.4724631843566893,1.0,0.0,-7.340920448303223,17.3488826751709
0.084,0.07244633813667299,0.11549099423980712,-0.634923671722412,1.507160949707031,1.0,0.0,-7.328014373779297,17.31487464904785
0.08600000000000001,0.07114717873573305,0.11857457563781737,-0.6495797004699706,1.5417906990051269,1.0,0.0,-7.314736843109131,17.280179977416992
0.088,0.06981876038742067,0.12172727775573729,-0.6642091741561889,1.576351058959961,1.0,0.0,-7.301059722900391,17.24472999572754
0.09,0.06846113780021669,0.12494895879364012,-0.6788112936019897,1.6108405189514161,1.0,0.0,-7.286952495574951,17.2084903717041
0.092,0.06707436740303041,0.12823947379302977,-0.6933851985931395,1.6452574996948244,1.0,0.0,-7.272418022155762,17.17143440246582
0.094,0.06565850733375551,0.1315986745300293,-0.7079300346374511,1.679600368499756,1.0,0.0,-7.25738000869751,17.133466720581055
0.096,0.06421361774444583,0.13502640913391115,-0.7224447946548461,1.713867301940918,1.0,0.0,-7.241851329803467,17.094587326049805
0.098,0.06273976074981692,0.13852252208709717,-0.7369284973144531,1.7480564765930178,1.0,0.0,-7.225784778594971,17.054729461669922
0.1,0.061237000616073636,0.1420868539581299,-0.751380066871643,1.7821659355163577,1.0,0.0,-7.209165096282959,17.013858795166016
0.10200000000000001,0.05970540382194522,0.14571924126434327,-0.7657983970642089,1.8161936531066898,1.0,0.0,-7.191952705383301,16.971887588500977
